,date,2772803,2772804,2772805,2772806,2772807,2772808,2772809,2772810,2772811,2772812,2772813,2772814,2772815,2772816,2772817,2772818,2772819,2772820,2772821,2772822,2772859,2772860,2772861,2772862,2772863,2772864,2772865,2772866,2772867,2772868,2772869,2772870,2772871,2772872,2772873,2772874,2772875,2772876,2772877,2772878,2772879,2772914,2772915,2772916,2772917,2772918,2772919,2772920,2772921,2772922,2772923,2772924,2772925,2772926,2772927,2772928,2772929,2772930,2772931,2772932,2772933,2772934,2772980,2772981,2772982
0,2020-05-05,97.0,97.0,97.0,0.0,198.0,174.0,38.0,0.0,0.0,69.0,-60.0,103.71428571428572,43.0,0.0,63.0,0.0,43.0,38.0,74.0,82.0,55.0,82.0,55.0,0.0,77.0,79.0,-312.0,70.0,0.0,0.0,-9.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,77.0,62.0,39.0,77.0,89.0,-79.0,82.0,82.0,34.0,93.0,2.0,84.0,-149.0,-70.0,8.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,-76.66666666666667,0.0
1,2020-05-07,79.0,79.0,79.0,-358.0,-119.0,-119.0,86.0,0.0,0.0,87.0,-170.4,-114.9090909090909,-39.2,63.0,-119.0,68.0,42.0,38.0,-3.0,2.0,55.0,2.0,55.0,90.0,0.0,0.0,199.0,-123.0,42.0,70.0,6.7,47.0,42.0,124.33333333333333,108.0,63.0,17.5,27.0,83.0,57.0,47.0,83.0,4.0,164.0,2.0,2.0,-25.0,-6.0,5.0,99.0,162.5,60.0,163.0,-9.0,42.0,90.0,90.0,42.0,80.0,42.0,42.0,2.0,2.0,-57.85714285714286,47.0
2,2020-05-08,57.0,57.0,57.0,-19.0,-138.0,-138.0,-60.0,0.0,0.0,-10.0,37.8,-57.45454545454545,-79.0,0.0,8.0,0.0,-134.0,-1.0,-4.0,2.0,-27.0,2.0,-27.0,0.0,0.0,0.0,200.0,138.0,0.0,0.0,-29.8,0.0,0.0,0.0,-40.0,0.0,0.0,0.0,-43.0,-64.0,36.0,-44.0,5.0,5.0,2.0,2.0,-27.0,-6.0,5.0,-33.0,201.0,7.0,-74.0,-13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-44.0,0.0
3,2020-05-11,73.0,73.0,73.0,-129.0,-195.0,-195.0,-195.0,0.0,0.0,25.0,77.8,-58.099999999999994,-26.0,0.0,80.0,68.0,37.0,-2.0,-72.0,-72.0,-23.0,-72.0,-23.0,-79.0,-6.0,-5.0,199.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,-42.0,58.0,-41.0,-41.0,-74.0,89.0,-72.0,-72.0,-21.0,-112.0,-112.0,-33.0,72.5,15.0,-57.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.0,-72.0,30.75,0.0
4,2020-05-12,53.0,53.0,53.0,-264.0,-204.0,-204.0,-59.0,0.0,0.0,0.0,-50.2,38.57142857142858,0.0,0.0,-8.0,69.0,43.0,39.0,-2.0,3.0,-25.0,3.0,-25.0,-61.0,0.0,0.0,-92.0,-118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.0,59.0,37.0,-43.0,9.0,1.0,3.0,3.0,-25.0,-109.0,-109.0,-28.0,159.5,17.0,87.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.4,0.0
5,2020-05-13,-81.0,-81.0,-81.0,0.0,-102.0,-102.0,43.0,0.0,0.0,15.0,79.2,14.0,14.0,66.0,-6.0,0.0,-65.0,39.0,2.0,6.0,-27.0,6.0,-27.0,-43.0,-25.0,-23.0,-52.0,0.0,-59.0,-65.0,14.7,-57.0,-59.0,-57.0,0.0,66.0,-68.0,-68.0,-38.0,-57.0,-38.0,-38.0,0.0,-81.0,6.0,6.0,-29.0,-107.0,-107.0,-29.0,252.5,-30.0,-86.0,-4.0,-59.0,-41.0,-41.0,-40.0,-57.0,-59.0,-59.0,6.0,6.0,-12.666666666666666,-57.0
6,2020-05-14,127.0,127.0,127.0,143.0,-97.0,-97.0,-97.0,0.0,0.0,90.0,-79.4,-337.84615384615387,-325.1818181818182,62.0,-41.0,73.0,42.0,39.0,77.0,0.0,55.0,0.0,55.0,76.0,20.0,22.0,202.0,0.0,41.0,35.0,-11.4,39.0,41.0,29.0,104.0,62.0,103.5,31.0,82.0,58.0,39.0,82.0,3.0,83.0,0.0,0.0,30.0,-7.0,5.0,87.0,-149.0,18.0,164.0,-19.0,41.0,34.5,34.5,41.0,39.0,41.0,41.0,0.0,0.0,29.0,39.0
7,2020-05-15,34.0,34.0,34.0,-16.0,198.0,149.0,38.0,0.0,0.0,25.0,78.4,-238.66666666666666,0.0,0.0,2.0,68.0,42.0,43.0,-79.0,-79.0,-26.0,-79.0,-26.0,-78.0,21.0,19.0,-377.0,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,17.0,31.0,-44.0,-57.0,-44.0,-44.0,-73.0,-80.0,-79.0,-79.0,-26.0,95.0,117.0,-33.0,253.5,-45.0,-76.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.0,-79.0,182.22222222222223,0.0
8,2020-05-18,79.0,79.0,79.0,0.0,202.0,118.0,-58.0,0.0,0.0,24.0,19.6,219.0,100.0,0.0,-81.0,0.0,43.0,-22.0,76.0,84.0,55.0,84.0,55.0,0.0,76.0,79.0,153.0,238.0,0.0,0.0,-5.0,0.0,0.0,0.0,-44.0,0.0,0.0,0.0,78.0,63.0,42.0,78.0,82.0,8.0,84.0,84.0,195.0,201.0,116.0,-33.0,8.5,112.0,23.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,-9.0,0.0
